distortion,single_hemes_count,single_hemes_mean,single_hemes_std,reduced_count,reduced_mean,reduced_std
saddling,1515,-0.21237029702970295,0.35101285345628536,479,-0.2238893528183716,0.36974705573016864
ruffling,1515,-0.08854455445544555,0.40471420167165545,479,-0.05839039665970773,0.43499519065254766
doming,1515,-0.01681716171617162,0.2308842635744398,479,-0.03668267223382046,0.1421970593751371
breathing,1515,-0.11946666666666668,0.13319249155358856,479,-0.11925052192066805,0.12738537334316388
rotation,1515,0.004558415841584159,0.02395393504403409,479,0.004352818371607515,0.025707779039194138
wavx,1515,0.0019042904290429048,0.1217515366328702,479,0.013966597077244259,0.12479354888876924
wavy,1515,0.03210957095709571,0.11581009774301966,479,0.02612526096033403,0.12146747833722124
pro,1515,-0.0038627062706270633,0.0417752956370659,479,-0.0041419624217119005,0.043638068927705415
nstr,1515,0.0018369636963696371,0.09324760270126536,479,0.007478079331941545,0.0957583421083124
mstr,1515,-0.006225742574257425,0.08083478264070741,479,-0.0031941544885177456,0.07595901426824661
transx,1515,-0.0037894389438943893,0.04278748313113185,479,-0.006102296450939456,0.04461888795206913
transy,1515,0.008763036303630362,0.0396250752078347,479,0.009906054279749478,0.03774015908313689
